image_path,output
test/37381.jpg,"[[{'left': 0.2669270833333333, 'top': 0.7366071428571429, 'width': 0.08723958333333337, 'height': 0.1696428571428571, 'shape': 'rectangle', 'label': 'A Х оzоn Os.'}]]"
test/37378.jpg,"[[{'left': 0.1953125, 'top': 0.38839285714285715, 'width': 0.16471354166666669, 'height': 0.17410714285714285, 'shape': 'rectangle', 'label': ''}]]"
test/37376.jpg,"[[{'left': 0.783203125, 'top': 0.40029761904761907, 'width': 0.21549479166666666, 'height': 0.12797619047619047, 'shape': 'rectangle', 'label': 'огб екье тааке Hehhн'}]]"
test/37362.jpg,"[[{'left': 0.8274739583333334, 'top': 0.5066864784546805, 'width': 0.08658854166666663, 'height': 0.08618127786032692, 'shape': 'rectangle', 'label': 'ш'}]]"
test/37350.jpg,"[[{'left': 0.14778645833333334, 'top': 0.6860119047619048, 'width': 0.17643229166666666, 'height': 0.12351190476190477, 'shape': 'rectangle', 'label': ''}]]"
test/37329.jpg,"[[{'left': 0.6725260416666666, 'top': 0.39880952380952384, 'width': 0.12890625, 'height': 0.30208333333333326, 'shape': 'rectangle', 'label': 'оаукть'}]]"
test/37327.jpg,"[[{'left': 0.7174479166666666, 'top': 0.6592261904761905, 'width': 0.15690104166666666, 'height': 0.3392857142857143, 'shape': 'rectangle', 'label': 'Oинд хчиста'}]]"
test/37325.jpg,"[[{'left': 0.6940104166666666, 'top': 0.6339285714285714, 'width': 0.16536458333333337, 'height': 0.30505952380952384, 'shape': 'rectangle', 'label': 'I. гй Osu.'}]]"
test/37319.jpg,"[[{'left': 0.22005208333333334, 'top': 0, 'width': 0.22656249999999997, 'height': 0.19345238095238096, 'shape': 'rectangle', 'label': 'р MDCOC'}]]"
test/37309.jpg,"[[{'left': 0.8046875, 'top': 0.14136904761904762, 'width': 0.15559895833333337, 'height': 0.09523809523809523, 'shape': 'rectangle', 'label': 'шe AfioiGelgl. Якитория чшигиинн пе'}]]"
test/37290.jpg,"[[{'left': 0.6100260416666666, 'top': 0.537890044576523, 'width': 0.03385416666666674, 'height': 0.07726597325408624, 'shape': 'rectangle', 'label': ''}]]"
test/37289.jpg,"[[{'left': 0.17122395833333334, 'top': 0.5892857142857143, 'width': 0.11263020833333334, 'height': 0.050595238095238027, 'shape': 'rectangle', 'label': 'CшN ор д яманинорA'}]]"
test/37285.jpg,"[[{'left': 0.22981770833333334, 'top': 0.3005952380952381, 'width': 0.13346354166666666, 'height': 0.13541666666666669, 'shape': 'rectangle', 'label': 'Ne чайхонд нихн Ne'}]]"
test/37277.jpg,"[[{'left': 0.244140625, 'top': 0.5863095238095238, 'width': 0.14518229166666669, 'height': 0.09077380952380953, 'shape': 'rectangle', 'label': 'ИнгоCСтрах ИН'}]]"
test/37274.jpg,"[[{'left': 0.41796875, 'top': 0.5074404761904762, 'width': 0.080078125, 'height': 0.08630952380952384, 'shape': 'rectangle', 'label': ''}]]"
test/37270.jpg,"[[{'left': 0.8190104166666666, 'top': 0.6904761904761905, 'width': 0.138671875, 'height': 0.1875, 'shape': 'rectangle', 'label': 'Pемоновув'}]]"
test/37268.jpg,"[[{'left': 0.16276041666666666, 'top': 0.4955357142857143, 'width': 0.09700520833333334, 'height': 0.07886904761904756, 'shape': 'rectangle', 'label': ''}]]"
