image_path,output
test/37381.jpg,"[[{'left': 0.2669270833333333, 'top': 0.7366071428571429, 'width': 0.08723958333333337, 'height': 0.1696428571428571, 'label': 'A Х оzоn Os.', 'shape': 'rectangle'}]]"
test/37378.jpg,"[[{'left': 0.1953125, 'top': 0.38839285714285715, 'width': 0.16471354166666669, 'height': 0.17410714285714285, 'label': '', 'shape': 'rectangle'}]]"
test/37376.jpg,"[[{'left': 0.783203125, 'top': 0.40029761904761907, 'width': 0.21549479166666666, 'height': 0.12797619047619047, 'label': 'огб екье тааке Hehhн', 'shape': 'rectangle'}]]"
test/37362.jpg,"[[{'left': 0.8274739583333334, 'top': 0.5066864784546805, 'width': 0.08658854166666663, 'height': 0.08618127786032692, 'label': 'ш', 'shape': 'rectangle'}]]"
test/37350.jpg,"[[{'left': 0.14778645833333334, 'top': 0.6860119047619048, 'width': 0.17643229166666666, 'height': 0.12351190476190477, 'label': '', 'shape': 'rectangle'}]]"
test/37329.jpg,"[[{'left': 0.6725260416666666, 'top': 0.39880952380952384, 'width': 0.12890625, 'height': 0.30208333333333326, 'label': 'оаукть', 'shape': 'rectangle'}]]"
test/37327.jpg,"[[{'left': 0.7174479166666666, 'top': 0.6592261904761905, 'width': 0.15690104166666666, 'height': 0.3392857142857143, 'label': 'Oинд хчиста', 'shape': 'rectangle'}]]"
test/37325.jpg,"[[{'left': 0.6940104166666666, 'top': 0.6339285714285714, 'width': 0.16536458333333337, 'height': 0.30505952380952384, 'label': 'I. гй Osu.', 'shape': 'rectangle'}]]"
test/37319.jpg,"[[{'left': 0.22005208333333334, 'top': 0, 'width': 0.22656249999999997, 'height': 0.19345238095238096, 'label': 'р MDCOC', 'shape': 'rectangle'}]]"
test/37309.jpg,"[[{'left': 0.8046875, 'top': 0.14136904761904762, 'width': 0.15559895833333337, 'height': 0.09523809523809523, 'label': 'шe AfioiGelgl. Якитория чшигиинн пе', 'shape': 'rectangle'}]]"
test/37290.jpg,"[[{'left': 0.6100260416666666, 'top': 0.537890044576523, 'width': 0.03385416666666674, 'height': 0.07726597325408624, 'label': '', 'shape': 'rectangle'}]]"
test/37289.jpg,"[[{'left': 0.17122395833333334, 'top': 0.5892857142857143, 'width': 0.11263020833333334, 'height': 0.050595238095238027, 'label': 'CшN ор д яманинорA', 'shape': 'rectangle'}]]"
test/37285.jpg,"[[{'left': 0.22981770833333334, 'top': 0.3005952380952381, 'width': 0.13346354166666666, 'height': 0.13541666666666669, 'label': 'Ne чайхонд нихн Ne', 'shape': 'rectangle'}]]"
test/37277.jpg,"[[{'left': 0.244140625, 'top': 0.5863095238095238, 'width': 0.14518229166666669, 'height': 0.09077380952380953, 'label': 'ИнгоCСтрах ИН', 'shape': 'rectangle'}]]"
test/37274.jpg,"[[{'left': 0.41796875, 'top': 0.5074404761904762, 'width': 0.080078125, 'height': 0.08630952380952384, 'label': '', 'shape': 'rectangle'}]]"
test/37270.jpg,"[[{'left': 0.8190104166666666, 'top': 0.6904761904761905, 'width': 0.138671875, 'height': 0.1875, 'label': 'Pемоновув', 'shape': 'rectangle'}]]"
test/37268.jpg,"[[{'left': 0.16276041666666666, 'top': 0.4955357142857143, 'width': 0.09700520833333334, 'height': 0.07886904761904756, 'label': '', 'shape': 'rectangle'}]]"
test/37248.jpg,"[[{'left': 0.0546875, 'top': 0.4971751412429379, 'width': 0.2942708333333333, 'height': 0.2175141242937853, 'label': 'HOmepa rOOms O1-104 HOMЕPA ROOMS 05-109', 'shape': 'rectangle'}]]"
test/37221.jpg,"[[{'left': 0.818359375, 'top': 0.3229166666666667, 'width': 0.07682291666666663, 'height': 0.14136904761904762, 'label': 'еинпее эдорOвыEкрACотAз', 'shape': 'rectangle'}]]"
test/37218.jpg,"[[{'left': 0.022135416666666668, 'top': 0.29910714285714285, 'width': 0.16927083333333334, 'height': 0.1785714285714286, 'label': '', 'shape': 'rectangle'}]]"
test/37204.jpg,"[[{'left': 0.06901041666666667, 'top': 0.5, 'width': 0.09440104166666667, 'height': 0.09375, 'label': 'дON элитног BиCкИру', 'shape': 'rectangle'}]]"
test/37203.jpg,"[[{'left': 0.46875, 'top': 0.17857142857142858, 'width': 0.02734375, 'height': 0.05654761904761904, 'label': 'Orhe OстрOв', 'shape': 'rectangle'}]]"
